technique_id,technique_name,visibility_gap_any_tactic,status,sources_seen
T1001,Data Obfuscation,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.001,Additional Cloud Credentials,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.002,Additional Email Delegate Permissions,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.003,Additional Cloud Roles,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.004,SSH Authorized Keys,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.005,Device Registration,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.006,Additional Container Cluster Roles,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1098.007,Additional Local or Domain Groups,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1102,Web Service,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1102.001,Dead Drop Resolver,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1102.002,Bidirectional Communication,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1102.003,One-Way Communication,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1104,Multi-Stage Channels,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1105,Ingress Tool Transfer,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1106,Native API,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1110,Brute Force,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1110.001,Password Guessing,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1110.002,Password Cracking,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1110.003,Password Spraying,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1110.004,Credential Stuffing,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1111,Multi-Factor Authentication Interception,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1112,Modify Registry,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1113,Screen Capture,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1114,Email Collection,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1114.001,Local Email Collection,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1114.002,Remote Email Collection,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1114.003,Email Forwarding Rule,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1115,Clipboard Data,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1119,Automated Collection,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1120,Peripheral Device Discovery,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1123,Audio Capture,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1124,System Time Discovery,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1125,Video Capture,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1127,Trusted Developer Utilities Proxy Execution,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1127.001,MSBuild,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1127.002,ClickOnce,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1127.003,JamPlus,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1129,Shared Modules,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1132,Data Encoding,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1132.001,Standard Encoding,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1132.002,Non-Standard Encoding,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1133,External Remote Services,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Yes; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134,Access Token Manipulation,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134.001,Token Impersonation/Theft,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134.002,Create Process with Token,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134.003,Make and Impersonate Token,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134.004,Parent PID Spoofing,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1134.005,SID-History Injection,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1135,Network Share Discovery,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1136,Create Account,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1136.001,Local Account,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1136.002,Domain Account,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1136.003,Cloud Account,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137,Office Application Startup,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.001,Office Template Macros,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.002,Office Test,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.003,Outlook Forms,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.004,Outlook Home Page,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.005,Outlook Rules,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1137.006,Add-ins,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1140,Deobfuscate/Decode Files or Information,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1176,Software Extensions,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1176.001,Browser Extensions,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1176.002,IDE Extensions,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1185,Browser Session Hijacking,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1187,Forced Authentication,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1189,Drive-by Compromise,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1190,Exploit Public-Facing Application,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1195,Supply Chain Compromise,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
T1195.001,Compromise Software Dependencies and Development Tools,No,Telemetry available (detection gap until rule exists),Windows Security/Sysmon:Maybe; Cisco ASA:Yes; AWS CloudTrail:Yes; AWS GuardDuty:Yes; AWS VPC Flow:Yes; AWS S3 Access Logs:Yes; Microsoft 365/O365:Yes; Azure AD:Yes; Network Telemetry (Zeek/Stream):Yes; Symantec EP:Yes; Code42:Yes; Linux Syslog:Yes
